,info_brand,info_name,info_money,info_store,info_commit
0,天语（K-Touch）,天语（K-Touch）V6 翻盖老人手机 超长待机 移动/联通2G 双卡双待 大字大声老年机 一键操作功能机 红色,189,天语手机京东自营官方旗舰店,2万+
1,荣耀（HONOR）,荣耀8X Max 7.12英寸90%屏占比珍珠屏  4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1499,荣耀京东自营旗舰店,40万+
2,飞利浦（PHILIPS ）,飞利浦 PHILIPS E256S 炫酷红双屏翻盖 大屏大字移动联通2G 双卡双待 老人手机 老年手机学生备用功能机,288,没有找到店铺 - -！,6万+
3,Apple,"京品手机	
Apple iPhone XR (A2108) 128GB 白色 移动联通电信4G手机 双卡双待",4499,Apple产品京东自营旗舰店,200万+
4,飞利浦（PHILIPS ）,飞利浦 PHILIPS E256S 陨石黑双屏翻盖大屏大字移动联通2G 双卡双待 老人手机 老年手机学生备用功能机,288,没有找到店铺 - -！,10万+
5,魅族（meizu）,魅族 16 X  AI双摄拍照手机 6GB+64GB 砚墨黑 骁龙710 全网通4G游戏智能 双卡双待,1199,魅族京东自营旗舰店,10万+
6,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E171L 海军蓝 直板按键 移动/联通2G 老人手机 老年功能机,198,飞利浦手机京东自营旗舰店,1000+
7,飞利浦（PHILIPS ）,飞利浦 PHILIPS E259S 陨石黑 双屏翻盖 大屏大字 长待机 移动联通2G 老人手机老年手机 学生备用功能机,299,没有找到店铺 - -！,3万+
8,天语（K-Touch）,天语（K-Touch）V6C 电信2G翻盖老人手机 超长待机 内外双屏老年手机 一键操作备用机 红色,209,天语手机京东自营官方旗舰店,2万+
9,魅族（meizu）,魅族 X8 拍照游戏智能手机 6GB+64GB 亮黑 AI美颜 骁龙710 全网通4G双卡双待,1099,魅族京东自营旗舰店,10万+
10,荣耀（honor）,"京品手机	
荣耀Magic2魔法手机 麒麟980AI智能芯片 超广角AI三摄 8GB+128GB 渐变黑 移动联通电信4G手机 双卡双待",4299,荣耀京东自营旗舰店,20万+
11,守护宝,守护宝（上海中兴易联）K188  暮光黑 联通4G 直板按键 超长待机 老人手机 学生备用功能机,269,守护宝手机京东自营旗舰店,5000+
12,荣耀（HONOR）,"京品手机	
荣耀畅玩8C两天一充 莱茵护眼 刘海屏 全网通版4GB+32GB 星云紫 移动联通电信4G全面屏手机 双卡双待",899,荣耀京东自营旗舰店,70万+
13,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E108 炫丽红 直板按键 移动联通2G 双卡双待 老人手机 老年功能机 学生机备机,109,飞利浦手机京东自营旗舰店,2万+
14,荣耀（HONOR）,"京品手机	
荣耀Magic2魔法手机 麒麟980AI智能芯片 超广角AI三摄 6GB+128GB 渐变红 移动联通电信4G手机 双卡双待",2299,荣耀京东自营旗舰店,20万+
15,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E107 移动联通 老人手机 老年功能机绚丽红,109,飞利浦手机京东自营旗舰店,6万+
16,荣耀（HONOR）,荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏手机,999,荣耀京东自营旗舰店,100万+
17,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E108 陨石黑 直板按键 移动联通2G 双卡双待 老人手机 老年功能机 学生机备机 儿童手机,109,飞利浦手机京东自营旗舰店,6万+
18,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E125 富贵红 移动联通2G 老人手机 双卡双待 超长待机 老年手机 学生备用功能机儿童手机,119,飞利浦手机京东自营旗舰店,2万+
19,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E125 海军蓝 移动联通2G 老人手机 双卡双待 超长待机 老年手机 学生备用功能机儿童手机,119,飞利浦手机京东自营旗舰店,2万+
20,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E331K 古铜棕 按键 老年手机 移动联通2G 双卡双待 老人手机 学生备用功能机 儿童手机,199,飞利浦手机京东自营旗舰店,2万+
21,酷派（Coolpad）,酷派（Coolpad） V18翻盖电信2g 老人手机桃色,189,酷派京东自营旗舰店,1万+
22,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E218L 炫舞红 翻盖老人手机 移动联通2G 双卡双待大字大声老年机 学生备用功能机,279,飞利浦手机京东自营旗舰店,7万+
23,OPPO,【音箱套装】OPPO A5 全面屏拍照手机 3GB+64GB 幻镜蓝 全网通 移动联通电信4G 双卡双待手机,1349,OPPO京东自营官方旗舰店,4万+
24,荣耀（honor）,荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版6GB+64GB 渐变蓝 移动联通电信4G全面屏手机 双卡双待,1199,荣耀京东自营旗舰店,100万+
25,纽曼（Newman）,纽曼（Newman）R15 星空黑 学生手机 卡片手机 移动2G 超薄迷你儿童小手机 备用机非智能戒网手机 老人手机,163,纽曼京东自营官方旗舰店,8万+
26,三星（SAMSUNG）,三星领世旗舰8 4GB+64GB 黑色（SM-G9298）翻盖智能商务手机 4.2英寸双屏 无线充电 双卡双待手机,4499,三星京东自营官方旗舰店,3000+
27,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E218L 陨石黑 翻盖老人手机 移动联通2G 双卡双待大字大声老年机 学生备用功能机,279,飞利浦手机京东自营旗舰店,2万+
28,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E218L 富贵金 翻盖老人手机 移动联通2G 双卡双待大字大声老年机 学生备用功能机,279,飞利浦手机京东自营旗舰店,2000+
29,荣耀（HONOR）,荣耀V20 游戏手机 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻夜黑 移动联通电信4G,2199,荣耀京东自营旗舰店,80万+
30,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E289 星空灰 电信移动联通4G全网通 智能老人手机 WiFi热点 直板按键老年机 儿童学生手机,399,飞利浦手机京东自营旗舰店,6万+
31,荣耀（HONOR）,荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,799,荣耀京东自营旗舰店,40万+
32,纽曼（Newman）,纽曼（Newman）L9 星空黑 超长待机 三防老人手机 移动2G 直板按键 大声音 双卡双待老年机 学生备用功能机,138,纽曼京东自营官方旗舰店,2万+
33,荣耀（honor）,荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+64GB 渐变蓝 移动联通电信4G全面屏手机,1399,荣耀京东自营旗舰店,90万+
34,飞利浦（PHILIPS ）,飞利浦（PHILIPS） E280 星空黑 直板商务大屏 超长待机 移动联通2G 双卡双待 老人手机 学生备用功能机,299,飞利浦手机京东自营旗舰店,1000+
35,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E280 海军蓝 商务大屏 超长待机 移动联通2G 双卡双待 老人手机 学生备用功能机 儿童手机,299,飞利浦手机京东自营旗舰店,7000+
36,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E188A 星空黑 真三防老人手机 防水 超长待机 老年手机 移动联通2G 儿童学生备用功能机,399,飞利浦手机京东自营旗舰店,1万+
37,OPPO,【蓝牙音箱套装版】OPPO Reno 10倍变焦版 高通骁龙855 4800万超清三摄 8GB+256GB 极夜黑 全网通4G 全面屏拍照游戏智能手机,4329,OPPO京东自营官方旗舰店,2万+
